Asensetek Spectrum Genius V3.1.1,,,,,
,1,,,,
File Name,2 channel test-single-20211213-151240,Max.,Min.,Range,Avg.
580,0.02913,,,,
581,0.0315325,,,,
582,0.0339935,,,,
583,0.0368217,,,,
584,0.0405781,,,,
585,0.0451906,,,,
586,0.0502762,,,,
587,0.0558654,,,,
588,0.0620577,,,,
589,0.0687581,,,,
590,0.0761692,,,,
591,0.0848174,,,,
592,0.0947445,,,,
593,0.105945,,,,
594,0.118413,,,,
595,0.131986,,,,
596,0.14713,,,,
597,0.164234,,,,
598,0.183305,,,,
599,0.204959,,,,
600,0.229437,,,,
601,0.256355,,,,
602,0.285628,,,,
603,0.317776,,,,
604,0.353618,,,,
605,0.393553,,,,
606,0.43693,,,,
607,0.48339,,,,
608,0.533733,,,,
609,0.588736,,,,
610,0.648483,,,,
611,0.711823,,,,
612,0.777744,,,,
613,0.846135,,,,
614,0.916228,,,,
615,0.985665,,,,
616,1.05137,,,,
617,1.11133,,,,
618,1.16349,,,,
619,1.20531,,,,
620,1.23354,,,,
621,1.24601,,,,
622,1.24306,,,,
623,1.22526,,,,
624,1.1918,,,,
625,1.14325,,,,
626,1.08137,,,,
627,1.00905,,,,
628,0.92949,,,,
629,0.846023,,,,
630,0.761227,,,,
631,0.67836,,,,
632,0.599714,,,,
633,0.526301,,,,
634,0.458581,,,,
635,0.397277,,,,
636,0.342664,,,,
637,0.295012,,,,
638,0.254162,,,,
639,0.219674,,,,
640,0.190392,,,,
641,0.165293,,,,
642,0.143603,,,,
643,0.124651,,,,
644,0.108128,,,,
645,0.0942492,,,,
646,0.0829149,,,,
647,0.0734898,,,,
648,0.065409,,,,
649,0.0582755,,,,
650,0.0520415,,,,
651,0.0467015,,,,
652,0.0420466,,,,
653,0.0381117,,,,
654,0.0349099,,,,
655,0.0321571,,,,
656,0.0295558,,,,
657,0.0271285,,,,
658,0.0249856,,,,
659,0.0232172,,,,
660,0.0219459,,,,
661,0.0210125,,,,
662,0.0201745,,,,
663,0.0194176,,,,
664,0.0186485,,,,
665,0.0177315,,,,
666,0.0168248,,,,
667,0.0160587,,,,
668,0.0153549,,,,
669,0.0146759,,,,
670,0.0140321,,,,
671,0.0134797,,,,
672,0.012946,,,,
673,0.0123514,,,,
674,0.011779,,,,
675,0.0113473,,,,
676,0.0109831,,,,
677,0.0105126,,,,
678,0.0100679,,,,
679,0.00984921,,,,
680,0.00970207,,,,
681,0.00948973,,,,
682,0.00914133,,,,
