Asensetek Spectrum Genius V3.1.1
,1,
File Name,620-single-20211105-115557,Max.,Min.,Range,Avg.,
CIE_x,0.6670,0.666999995708466,0.666999995708466,0,0.666999995708466,
CIE_y,0.3195,0.319499999284744,0.319499999284744,0,0.319499999284744,
CCT(K),0,0,0,0,0,
CRI(Ra),0,0,0,0,0,
Re(thru R1~R15),0,0,0,0,0,
Illuminance(lx),170,170,170,0,170,
Foot Candle(fc),15.8,15.8000001907349,15.8000001907349,0,15.8000001907349,
CIE_u',0.4851,0.485100001096725,0.485100001096725,0,0.485100001096725,
CIE_v',0.5228,0.522800028324127,0.522800028324127,0,0.522800028324127,
?p(nm),624,624,624,0,624,
R1,0.0,0,0,0,0,
R2,0.0,0,0,0,0,
R3,0.0,0,0,0,0,
R4,0.0,0,0,0,0,
R5,0.0,0,0,0,0,
R6,0.0,0,0,0,0,
R7,0.0,0,0,0,0,
R8,0.0,0,0,0,0,
R9,0.0,0,0,0,0,
R10,0.0,0,0,0,0,
R11,0.0,0,0,0,0,
R12,0.0,0,0,0,0,
R13,0.0,0,0,0,0,
R14,0.0,0,0,0,0,
R15,0.0,0,0,0,0,
CQS-Qa,0,0,0,0,0,
	Duv,0.0000,0,0,0,0,
?d(nm),615.3,615.299987792969,615.299987792969,0,615.299987792969,
Purity(%),96,96,96,0,96,
FWHM(nm),23,23,23,0,23,
SP ratio,0.15,0.150000005960464,0.150000005960464,0,0.150000005960464,
TLCI(Qa),0.0,0,0,0,0,
GAI,0.0,0,0,0,0,
PPFD 400-700nm(µmol/?s),3.56,3.55999994277954,3.55999994277954,0,3.55999994277954,
PPFD 380-780nm(µmol/?s),3.65,3.65000009536743,3.65000009536743,0,3.65000009536743,
TM-30 Rf,0,0,0,0,0,
TM-30 Rg,0,0,0,0,0,
GAI BB8,0,0,0,0,0,
GAI BB15,0,0,0,0,0,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2)
380,0.0189269,
381,0.0183916,
382,0.0164661,
383,0.0150153,
384,0.0141408,
385,0.0157733,
386,0.0152009,
387,0.0147573,
388,0.0148216,
389,0.0150211,
390,0.0152393,
391,0.0153789,
392,0.0152068,
393,0.0147038,
394,0.0141898,
395,0.014068,
396,0.0140118,
397,0.0138631,
398,0.0138688,
399,0.0137777,
400,0.0135876,
401,0.0134156,
402,0.0129754,
403,0.0122518,
404,0.0114244,
405,0.0104896,
406,0.0098352,
407,0.00975203,
408,0.00966039,
409,0.00907157,
410,0.00849356,
411,0.00843663,
412,0.00853244,
413,0.008694,
414,0.00904411,
415,0.00948135,
416,0.00981362,
417,0.00984532,
418,0.00981979,
419,0.00991541,
420,0.0102731,
421,0.0108346,
422,0.0112051,
423,0.0115038,
424,0.0117049,
425,0.011625,
426,0.0113541,
427,0.0110275,
428,0.010839,
429,0.0109071,
430,0.011356,
431,0.0118162,
432,0.0119381,
433,0.0116738,
434,0.0111565,
435,0.0106986,
436,0.0105228,
437,0.0106558,
438,0.0110196,
439,0.0113472,
440,0.0114763,
441,0.0113499,
442,0.0111351,
443,0.0108407,
444,0.0107047,
445,0.0109032,
446,0.0110947,
447,0.0111987,
448,0.0115031,
449,0.0118636,
450,0.0120193,
451,0.0118518,
452,0.0114436,
453,0.0110908,
454,0.0110025,
455,0.0109405,
456,0.0104787,
457,0.00991631,
458,0.0097544,
459,0.00969793,
460,0.00946251,
461,0.00914046,
462,0.00885258,
463,0.00868967,
464,0.00865489,
465,0.00879875,
466,0.00889944,
467,0.00889342,
468,0.00907238,
469,0.00908274,
470,0.00858713,
