Asensetek Spectrum Genius V3.1.1
,1,
File Name,597-single-20211105-115528,Max.,Min.,Range,Avg.,
CIE_x,0.5595,0.559499979019165,0.559499979019165,0,0.559499979019165,
CIE_y,0.4261,0.426099985837936,0.426099985837936,0,0.426099985837936,
CCT(K),1829,1829,1829,0,1829,
CRI(Ra),40,40,40,0,40,
Re(thru R1~R15),26,26,26,0,26,
Illuminance(lx),451,451,451,0,451,
Foot Candle(fc),41.9,41.9000015258789,41.9000015258789,0,41.9000015258789,
CIE_u',0.3200,0.319999992847443,0.319999992847443,0,0.319999992847443,
CIE_v',0.5483,0.54830002784729,0.54830002784729,0,0.54830002784729,
?p(nm),595,595,595,0,595,
R1,30.9,30.8999996185303,30.8999996185303,0,30.8999996185303,
R2,66.9,66.9000015258789,66.9000015258789,0,66.9000015258789,
R3,83.7,83.6999969482422,83.6999969482422,0,83.6999969482422,
R4,14.3,14.3000001907349,14.3000001907349,0,14.3000001907349,
R5,22.7,22.7000007629395,22.7000007629395,0,22.7000007629395,
R6,49.4,49.4000015258789,49.4000015258789,0,49.4000015258789,
R7,57.0,57,57,0,57,
R8,-5.6,-5.59999990463257,-5.59999990463257,0,-5.59999990463257,
R9,-108.4,-108.400001525879,-108.400001525879,0,-108.400001525879,
R10,35.5,35.5,35.5,0,35.5,
R11,-14.1,-14.1000003814697,-14.1000003814697,0,-14.1000003814697,
R12,3.0,3,3,0,3,
R13,34.0,34,34,0,34,
R14,90.2,90.1999969482422,90.1999969482422,0,90.1999969482422,
R15,26.2,26.2000007629395,26.2000007629395,0,26.2000007629395,
CQS-Qa,34,34,34,0,34,
	Duv,0.0055,0.00549999997019768,0.00549999997019768,0,0.00549999997019768,
?d(nm),589.0,589,589,0,589,
Purity(%),96,96,96,0,96,
FWHM(nm),83,83,83,0,83,
SP ratio,0.45,0.449999988079071,0.449999988079071,0,0.449999988079071,
TLCI(Qa),17.5,17.5,17.5,0,17.5,
GAI,4.4,4.40000009536743,4.40000009536743,0,4.40000009536743,
PPFD 400-700nm(µmol/?s),6.15,6.15000009536743,6.15000009536743,0,6.15000009536743,
PPFD 380-780nm(µmol/?s),6.45,6.44999980926514,6.44999980926514,0,6.44999980926514,
TM-30 Rf,49,49,49,0,49,
TM-30 Rg,62,62,62,0,62,
GAI BB8,23,23,23,0,23,
GAI BB15,27,27,27,0,27,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2)
380,0.00983711,
381,0.0110423,
382,0.0121281,
383,0.0120645,
384,0.0118018,
385,0.0120046,
386,0.0119711,
387,0.0116544,
388,0.0113565,
389,0.0114119,
390,0.0116805,
391,0.0119419,
392,0.0121675,
393,0.0121989,
394,0.0117674,
395,0.0112318,
396,0.0110715,
397,0.0113247,
398,0.0117194,
399,0.0117181,
400,0.0114609,
401,0.0113821,
402,0.0112424,
403,0.0109546,
404,0.0108578,
405,0.0110273,
406,0.0113101,
407,0.0113881,
408,0.0111893,
409,0.0107159,
410,0.010322,
