Asensetek Spectrum Genius V3.1.1
,1,
File Name,665-single-20211105-115658,Max.,Min.,Range,Avg.,
CIE_x,0.6840,0.684000015258789,0.684000015258789,0,0.684000015258789,
CIE_y,0.2864,0.286399990320206,0.286399990320206,0,0.286399990320206,
CCT(K),0,0,0,0,0,
CRI(Ra),0,0,0,0,0,
Re(thru R1~R15),0,0,0,0,0,
Illuminance(lx),50,50,50,0,50,
Foot Candle(fc),4.7,4.69999980926514,4.69999980926514,0,4.69999980926514,
CIE_u',0.5398,0.539799988269806,0.539799988269806,0,0.539799988269806,
CIE_v',0.5085,0.508499979972839,0.508499979972839,0,0.508499979972839,
?p(nm),652,652,652,0,652,
R1,0.0,0,0,0,0,
R2,0.0,0,0,0,0,
R3,0.0,0,0,0,0,
R4,0.0,0,0,0,0,
R5,0.0,0,0,0,0,
R6,0.0,0,0,0,0,
R7,0.0,0,0,0,0,
R8,0.0,0,0,0,0,
R9,0.0,0,0,0,0,
R10,0.0,0,0,0,0,
R11,0.0,0,0,0,0,
R12,0.0,0,0,0,0,
R13,0.0,0,0,0,0,
R14,0.0,0,0,0,0,
R15,0.0,0,0,0,0,
CQS-Qa,0,0,0,0,0,
	Duv,0.0000,0,0,0,0,
?d(nm),639.0,639,639,0,639,
Purity(%),91,91,91,0,91,
FWHM(nm),24,24,24,0,24,
SP ratio,0.23,0.230000004172325,0.230000004172325,0,0.230000004172325,
TLCI(Qa),0.0,0,0,0,0,
GAI,0.0,0,0,0,0,
PPFD 400-700nm(µmol/?s),3.04,3.03999996185303,3.03999996185303,0,3.03999996185303,
PPFD 380-780nm(µmol/?s),4.57,4.57000017166138,4.57000017166138,0,4.57000017166138,
TM-30 Rf,0,0,0,0,0,
TM-30 Rg,0,0,0,0,0,
GAI BB8,0,0,0,0,0,
GAI BB15,0,0,0,0,0,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2)
380,0.00234438,
381,0.00321059,
382,0.00490809,
383,0.00610012,
384,0.00726063,
385,0.00915151,
386,0.00941629,
387,0.00950648,
388,0.0093914,
389,0.00927431,
390,0.00906127,
391,0.00874069,
392,0.00865582,
393,0.00869215,
394,0.00829057,
395,0.00788915,
396,0.00783453,
397,0.00791625,
398,0.00793367,
399,0.00774079,
400,0.00750371,
401,0.00740777,
402,0.00743011,
403,0.00757926,
404,0.00778801,
405,0.00795872,
406,0.00814692,
407,0.00827843,
408,0.00835071,
409,0.00837396,
410,0.0084107,
411,0.0084913,
412,0.00825391,
413,0.00759546,
414,0.00684606,
415,0.00632961,
416,0.0060724,
417,0.00583866,
418,0.00553334,
419,0.00529471,
420,0.00516673,
421,0.00498824,
422,0.00474518,
423,0.00478107,
424,0.00509901,
425,0.00544633,
426,0.00583475,
427,0.00618089,
428,0.0064113,
429,0.00684021,
430,0.00747561,
431,0.00808127,
432,0.00866951,
433,0.00918632,
434,0.00953545,
435,0.00981897,
436,0.0100344,
437,0.00997725,
438,0.00967735,
439,0.0095166,
440,0.00948494,
441,0.00936688,
442,0.00916177,
443,0.00872416,
444,0.00825047,
445,0.00801923,
446,0.00778298,
447,0.00747107,
448,0.00735526,
449,0.00743303,
450,0.00731833,
451,0.00685082,
452,0.00632356,
453,0.00615189,
454,0.00647377,
455,0.00683115,
456,0.00697232,
457,0.00721078,
458,0.00744959,
459,0.0074152,
460,0.00724887,
461,0.00722705,
462,0.00740336,
463,0.00777499,
464,0.00806199,
465,0.00797776,
466,0.00767534,
467,0.00718274,
468,0.00656964,
469,0.00609141,
470,0.00580539,
471,0.00572652,
472,0.00585558,
473,0.00594625,
474,0.00575971,
475,0.00545855,
476,0.00530112,
477,0.00515266,
478,0.00506999,
479,0.00510151,
480,0.00509004,
481,0.00501446,
482,0.00482983,
483,0.00455727,
484,0.00444292,
485,0.00439905,
486,0.00426226,
487,0.00420405,
488,0.00447112,
489,0.00495934,
490,0.0053934,
491,0.0057888,
492,0.0061494,
493,0.00644164,
494,0.00656832,
495,0.00648445,
496,0.00642543,
497,0.00651742,
498,0.00667188,
499,0.00678886,
500,0.00674152,
501,0.00653762,
502,0.00633426,
503,0.00628645,
504,0.00630229,
505,0.00639397,
506,0.00681483,
507,0.00734023,
508,0.00748172,
509,0.00744617,
510,0.00752734,
511,0.00751649,
512,0.00738844,
513,0.00725283,
514,0.00709876,
515,0.00704719,
516,0.00694756,
517,0.00644443,
518,0.00591304,
519,0.00582389,
520,0.00580021,
521,0.00554403,
522,0.0053428,
523,0.00522227,
524,0.00507238,
525,0.00512033,
526,0.00531249,
527,0.00556598,
528,0.00591567,
529,0.00617497,
530,0.00627753,
531,0.00635198,
532,0.00638534,
533,0.00641571,
534,0.00660478,
535,0.00695629,
536,0.00713821,
537,0.00699029,
538,0.00674158,
539,0.00656562,
540,0.00644755,
541,0.0063813,
542,0.00630505,
543,0.00624961,
544,0.00624791,
545,0.0062655,
