Asensetek Spectrum Genius V3.1.1
,1,
File Name,548-single-20211105-115457,Max.,Min.,Range,Avg.,
604,0.438299,
605,0.43179,
606,0.425442,
607,0.418924,
608,0.412233,
609,0.405664,
610,0.399595,
611,0.393918,
612,0.388159,
613,0.382383,
614,0.376693,
615,0.371208,
616,0.365689,
617,0.359833,
618,0.35379,
619,0.34768,
620,0.341544,
621,0.335323,
622,0.329279,
623,0.323471,
624,0.317241,
625,0.31077,
626,0.304334,
627,0.298075,
628,0.29231,
629,0.286866,
630,0.281568,
631,0.276422,
632,0.271146,
633,0.265494,
634,0.259775,
635,0.254612,
636,0.249913,
637,0.245132,
638,0.239901,
639,0.234562,
640,0.229489,
641,0.224382,
642,0.218971,
643,0.213854,
644,0.209306,
645,0.20499,
646,0.200701,
647,0.196223,
648,0.191812,
649,0.187822,
650,0.18416,
651,0.180574,
652,0.177058,
653,0.173687,
654,0.169974,
655,0.165817,
656,0.161438,
657,0.157046,
658,0.152754,
659,0.148422,
660,0.144052,
661,0.139474,
662,0.134769,
663,0.130361,
664,0.126134,
665,0.122087,
666,0.118386,
667,0.115071,
668,0.111954,
669,0.108969,
670,0.106191,
671,0.103662,
672,0.101303,
673,0.0989291,
674,0.0964702,
675,0.0941628,
676,0.0920425,
677,0.0899464,
678,0.0878149,
679,0.0856806,
680,0.0835689,
681,0.0815423,
682,0.0796425,
683,0.0779141,
684,0.076332,
685,0.0748779,
686,0.0735121,
687,0.0722913,
688,0.0712009,
689,0.0701155,
690,0.0690046,
691,0.0681007,
692,0.0673694,
693,0.0664849,
694,0.0654395,
695,0.0644583,
696,0.0635755,
697,0.0627516,
698,0.0617606,
699,0.0604792,
700,0.0591498,
701,0.0578998,
702,0.0564968,
703,0.0549761,
704,0.0536572,
705,0.0525285,
706,0.0513283,
707,0.0499832,
708,0.0485021,
709,0.0471163,
710,0.0459534,
711,0.0448521,
712,0.0437745,
713,0.042791,
714,0.0418119,
715,0.0407495,
716,0.0397023,
717,0.0387677,
718,0.0379441,
719,0.0372179,
720,0.0365166,
721,0.0358256,
722,0.0351539,
723,0.0344135,
724,0.0334753,
725,0.032505,
726,0.0317231,
727,0.0311121,
728,0.0306123,
729,0.030085,
730,0.0294279,
731,0.0286384,
732,0.0278123,
733,0.0271439,
734,0.0266043,
735,0.0261405,
736,0.0258356,
737,0.0256641,
