Asensetek Spectrum Genius V3.1.1
,1,
File Name,630-single-20211105-115626,Max.,Min.,Range,Avg.,
CIE_x,0.6743,0.674300014972687,0.674300014972687,0,0.674300014972687,
CIE_y,0.3038,0.303799986839294,0.303799986839294,0,0.303799986839294,
CCT(K),0,0,0,0,0,
CRI(Ra),0,0,0,0,0,
Re(thru R1~R15),0,0,0,0,0,
Illuminance(lx),125,125,125,0,125,
Foot Candle(fc),11.6,11.6000003814697,11.6000003814697,0,11.6000003814697,
CIE_u',0.5093,0.509299993515015,0.509299993515015,0,0.509299993515015,
CIE_v',0.5162,0.516200006008148,0.516200006008148,0,0.516200006008148,
?p(nm),633,633,633,0,633,
R1,0.0,0,0,0,0,
R2,0.0,0,0,0,0,
R3,0.0,0,0,0,0,
R4,0.0,0,0,0,0,
R5,0.0,0,0,0,0,
R6,0.0,0,0,0,0,
R7,0.0,0,0,0,0,
R8,0.0,0,0,0,0,
R9,0.0,0,0,0,0,
R10,0.0,0,0,0,0,
R11,0.0,0,0,0,0,
R12,0.0,0,0,0,0,
R13,0.0,0,0,0,0,
R14,0.0,0,0,0,0,
R15,0.0,0,0,0,0,
CQS-Qa,0,0,0,0,0,
	Duv,0.0000,0,0,0,0,
?d(nm),623.6,623.599975585938,623.599975585938,0,623.599975585938,
Purity(%),93,93,93,0,93,
FWHM(nm),22,22,22,0,22,
SP ratio,0.19,0.189999997615814,0.189999997615814,0,0.189999997615814,
TLCI(Qa),0.0,0,0,0,0,
GAI,0.0,0,0,0,0,
PPFD 400-700nm(µmol/?s),3.54,3.53999996185303,3.53999996185303,0,3.53999996185303,
PPFD 380-780nm(µmol/?s),3.64,3.64000010490417,3.64000010490417,0,3.64000010490417,
TM-30 Rf,0,0,0,0,0,
TM-30 Rg,0,0,0,0,0,
GAI BB8,0,0,0,0,0,
GAI BB15,0,0,0,0,0,
Flicker %,,,,,
Flicker Index,,,,,
Flicker Frequency(Hz),,,,,
Spectrum Data(£gW/cm^2)
380,0.0273374,
381,0.0259278,
382,0.0233526,
383,0.0210489,
384,0.0194128,
385,0.0158655,
386,0.0145045,
387,0.0134785,
388,0.0132064,
389,0.0130434,
390,0.0128178,
391,0.0130203,
392,0.0137568,
393,0.0146775,
394,0.0155193,
395,0.0163374,
396,0.0167672,
397,0.0167421,
398,0.0163874,
399,0.0157571,
400,0.015495,
401,0.0157303,
402,0.0155475,
403,0.0147889,
404,0.0137245,
405,0.0124819,
406,0.0116827,
407,0.0116133,
408,0.0118953,
409,0.0121194,
410,0.0123619,
411,0.012805,
412,0.0128459,
413,0.0124962,
414,0.0126032,
415,0.01312,
416,0.0131372,
417,0.0126724,
418,0.0124798,
419,0.0126023,
420,0.0129942,
421,0.0134209,
422,0.0135903,
423,0.013976,
424,0.0145108,
425,0.0145243,
426,0.0144064,
427,0.0148892,
428,0.0154875,
429,0.0157253,
430,0.0159037,
431,0.01597,
432,0.0158137,
433,0.0153515,
434,0.0146543,
435,0.0141238,
436,0.0139261,
437,0.0137751,
438,0.0134348,
439,0.0129111,
440,0.0122509,
441,0.0117245,
442,0.011503,
443,0.0113285,
444,0.0113101,
445,0.0114949,
446,0.0115146,
447,0.0112548,
448,0.0110576,
449,0.0110429,
450,0.0110444,
451,0.011059,
452,0.0109449,
453,0.0106674,
454,0.0106548,
455,0.0109319,
456,0.0112743,
457,0.0118145,
458,0.012434,
459,0.0128485,
460,0.0132368,
461,0.0137404,
462,0.0141576,
463,0.0143583,
464,0.0144217,
465,0.014242,
466,0.0138609,
467,0.0134841,
